"cityNameUa","cityNameRu","oblastNameRu","oblastNameUa"
"Вуглегірськ","Углегорск","Донецкая область","Донецька область"
"Вугледар","Угледар","Донецкая область","Донецька область"
"Гадяч","Гадяч","Полтавская область","Полтавська область"
"Гайворон","Гайворон","Кировоградская область","Кіровоградська область"
"Гайсин","Гайсин","Винницкая область","Вінницька область"
"Галич","Галич","Ивано-Франковская область","Івано-Франківська область"
"Генічеськ","Геническ","Херсонская область","Херсонська область"
"Герца","Герца","Черновицкая область","Чернівецька область"
"Гірник","Горняк","Донецкая область","Донецька область"
"Гірське","Горское","Луганская область","Луганська область"
"Глиняни","Глиняны","Львовская область","Львівська область"
"Глобине","Глобино","Полтавская область","Полтавська область"
"Глухів","Глухов","Сумская область","Сумська область"
"Гнівань","Гнивань","Винницкая область","Вінницька область"
"Гола Пристань","Голая Пристань","Херсонская область","Херсонська область"
"Голубівка","Голубовка","Луганская область","Луганська область"
"Горішні Плавні","Горишние Плавни","Полтавская область","Полтавська область"
"Горлівка","Горловка","Донецкая область","Донецька область"
"Городенка","Городенка","Ивано-Франковская область","Івано-Франківська область"
"Городище","Городище","Черкасская область","Черкаська область"
"Городня","Городня","Черниговская область","Чернігівська область"
"Городок","Городок","Львовская область","Львівська область"
"Городок","Городок","Львовская область","Хмельницька область"
"Горохів","Горохов","Волынская область","Волинська область"
"Гребінка","Гребёнка","Полтавская область","Полтавська область"
"Гуляйполе","Гуляйполе","Запорожская область","Запорізька область"
"Дебальцеве","Дебальцево","Донецкая область","Донецька область"
"Деражня","Деражня","Хмельницкая область","Хмельницька область"
"Дергачі","Дергачи","Харьковская область","Харківська область"
"Джанкой","Джанкой","Автономная Республика Крым","Автономна Республіка Крим"
"Дніпро","Днепр","Днепропетровская область","Дніпропетровська область"
"Дніпрорудне","Днепрорудное","Запорожская область","Запорізька область"
"Добромиль","Добромиль","Львовская область","Львівська область"
"Добропілля","Доброполье","Донецкая область","Донецька область"
"Довжанськ","Должанск","Луганская область","Луганська область"
"Докучаєвськ","Докучаевск","Донецкая область","Донецька область"
"Долина","Долина","Ивано-Франковская область","Івано-Франківська область"
"Долинська","Долинская","Кировоградская область","Кіровоградська область"
"Донецьк","Донецк","Донецкая область","Донецька область"
"Дрогобич","Дрогобыч","Львовская область","Львівська область"
"Дружба","Дружба","Сумская область","Сумська область"
"Дружківка","Дружковка","Донецкая область","Донецька область"
"Дубляни","Дубляны","Львовская область","Львівська область"
"Дубно","Дубно","Ровненская область","Рівненська область"
"Дубровиця","Дубровица","Ровненская область","Рівненська область"
"Дунаївці","Дунаевцы","Хмельницкая область","Хмельницька область"
"Енергодар","Энергодар","Запорожская область","Запорізька область"
"Євпаторія","Евпатория","Автономная Республика Крым","Автономна Республіка Крим"
"Єнакієве","Енакиево","Донецкая область","Донецька область"
"Жашків","Жашков","Черкасская область","Черкаська область"
"Жданівка","Ждановка","Донецкая область","Донецька область"
"Жидачів","Жидачов","Львовская область","Львівська область"
"Житомир","Житомир","Житомирская область","Житомирська область"
"Жмеринка","Жмеринка","Винницкая область","Вінницька область"
"Жовква","Жолква","Львовская область","Львівська область"
"Жовті Води","Жёлтые Воды","Днепропетровская область","Дніпропетровська область"
"Заводське","Заводское","Полтавская область","Полтавська область"
"Залізне","Железное","Донецкая область","Донецька область"
"Заліщики","Залещики","Тернопольская область","Тернопільська область"
"Запоріжжя","Запорожье","Запорожская область","Запорізька область"
"Заставна","Заставна","Черновицкая область","Чернівецька область"
"Збараж","Збараж","Тернопольская область","Тернопільська область"
"Зборів","Зборов","Тернопольская область","Тернопільська область"
"Звенигородка","Звенигородка","Черкасская область","Черкаська область"
"Здолбунів","Здолбунов","Ровненская область","Рівненська область"
"Зеленодольськ","Зеленодольск","Днепропетровская область","Дніпропетровська область"
"Зимогір'я",,,"Луганська область"
"Зіньків","Зеньков","Полтавская область","Полтавська область"
"Зміїв","Змиёв","Харьковская область","Харківська область"
"Знам'янка",,,"Кіровоградська область"
"Золоте","Золотое","Луганская область","Луганська область"
"Золотоноша","Золотоноша","Черкасская область","Черкаська область"
"Золочів","Золочев","Львовская область","Львівська область"
"Зоринськ","Зоринск","Луганская область","Луганська область"
"Зугрес","Зугрэс","Донецкая область","Донецька область"
"Івано-Франківськ","Ивано-Франковск","Ивано-Франковская область","Івано-Франківська область"
"Ізмаїл","Измаил","Одесская область","Одеська область"
"Ізюм","Изюм","Харьковская область","Харківська область"
"Ізяслав","Изяслав","Хмельницкая область","Хмельницька область"
"Іллінці","Ильинцы","Винницкая область","Вінницька область"
"Іловайськ","Иловайск","Донецкая область","Донецька область"
"Інкерман","Инкерман","Севастополь","Севастополь"
"Ірміно","Ирмино","Луганская область","Луганська область"
"Ірпінь","Ирпень","Киевская область","Київська область"
"Іршава","Иршава","Закарпатская область","Закарпатська область"
"Ічня","Ичня","Черниговская область","Чернігівська область"
"Кагарлик","Кагарлык","Киевская область","Київська область"
"Кадіївка","Кадиевка","Луганская область","Луганська область"
"Калинівка","Калиновка","Винницкая область","Вінницька область"
"Калуш","Калуш","Ивано-Франковская область","Івано-Франківська область"
"Кальміуське","укр.","Донецкая область","Донецька область"
"Камінь-Каширський","Камень-Каширский","Волынская область","Волинська область"
"Кам'янець-Подільський",,,"Хмельницька область"
"Кам'янка",,,"Черкаська область"
"Кам'янка-Бузька",,,"Львівська область"
"Кам'янка-Дніпровська",,,"Запорізька область"
"Кам'янське",,,"Дніпропетровська область"
"Канів","Канев","Черкасская область","Черкаська область"
"Карлівка","Карловка","Полтавская область","Полтавська область"
"Каховка","Каховка","Херсонская область","Херсонська область"
"Керч","Керчь","Автономная Республика Крым","Автономна Республіка Крим"
"Київ","Киев","Киев","Київ"
"Кипуче","Кипучее","Луганская область","Луганська область"
"Ківерці","Киверцы","Волынская область","Волинська область"
"Кілія","Килия","Одесская область","Одеська область"
"Кіцмань","Кицмань","Черновицкая область","Чернівецька область"
"Кобеляки","Кобеляки","Хмельницкая область","Полтавська область"
"Ковель","Ковель","Волынская область","Волинська область"
"Кодима","Кодыма","Одесская область","Одеська область"
"Козятин","Казатин","Винницкая область","Вінницька область"
"Коломия","Коломыя","Ивано-Франковская область","Івано-Франківська область"
"Комарно","Комарно","Львовская область","Львівська область"
"Конотоп","Конотоп","Сумская область","Сумська область"
"Копичинці","Копычинцы","Тернопольская область","Тернопільська область"
"Корець","Корец","Ровненская область","Рівненська область"
"Коростень","Коростень","Житомирская область","Житомирська область"
"Коростишів","Коростышев","Житомирская область","Житомирська область"
"Корсунь-Шевченківський","Корсунь-Шевченковский","Черкасская область","Черкаська область"
"Корюківка","Корюковка","Черниговская область","Чернігівська область"
"Косів","Косов","Ивано-Франковская область","Івано-Франківська область"
"Костопіль","Костополь","Ровненская область","Рівненська область"
"Костянтинівка","Константиновка","Донецкая область","Донецька область"
"Краматорськ","Краматорск","Донецкая область","Донецька область"
"Красилів","Красилов","Хмельницкая область","Хмельницька область"
"Красногорівка","Красногоровка","Донецкая область","Донецька область"
"Красноград","Красноград","Харьковская область","Харківська область"
"Красноперекопськ (Яни Капу)",,,"Автономна Республіка Крим"
"Кременець","Кременец","Тернопольская область","Тернопільська область"
"Кременчук","Кременчуг","Полтавская область","Полтавська область"
"Кремінна","Кременная","Луганская область","Луганська область"
"Кривий Ріг","Кривой Рог","Днепропетровская область","Дніпропетровська область"
"Кролевець","Кролевец","Сумская область","Сумська область"
"Кропивницький","Кропивницкий","Кировоградская область","Кіровоградська область"
"Куп'янськ",,,"Харківська область"
"Курахове","Курахово","Донецкая область","Донецька область"
"Ладижин","Ладыжин","Винницкая область","Вінницька область"
"Ланівці","Лановцы","Тернопольская область","Тернопільська область"
"Лебедин","Лебедин","Сумская область","Сумська область"
"Лиман","Лиман","Донецкая область","Донецька область"
"Липовець","Липовец","Винницкая область","Вінницька область"
"Лисичанськ","Лисичанск","Луганская область","Луганська область"
"Лозова","Лозовая","Харьковская область","Харківська область"
"Лохвиця","Лохвица","Полтавская область","Полтавська область"
"Лубни","Лубны","Полтавская область","Полтавська область"
"Луганськ","Луганск","Луганская область","Луганська область"
"Лутугине","Лутугино","Луганская область","Луганська область"
"Луцьк","Луцк","Волынская область","Волинська область"
"Львів","Львов","Львовская область","Львівська область"
"Любомль","Любомль","Волынская область","Волинська область"
"Люботин","Люботин","Харьковская область","Харківська область"
"Макіївка","Макеевка","Донецкая область","Донецька область"
"Мала Виска","Малая Виска","Кировоградская область","Кіровоградська область"
"Малин","Малин","Житомирская область","Житомирська область"
"Марганець","Марганец","Днепропетровская область","Дніпропетровська область"
"Маріуполь","Мариуполь","Донецкая область","Донецька область"
"Мар'їнка","Марьинка","Донецкая область","Донецька область"
"Мелітополь","Мелитополь","Запорожская область","Запорізька область"
"Мена","Мена","Черниговская область","Чернігівська область"
"Мерефа","Мерефа","Харьковская область","Харківська область"
"Миколаїв","Николаев","Львовская область","Львівська область"
"Миколаїв","Николаев","Львовская область","Миколаївська область"
"Миколаївка","Николаевка","Донецкая область","Донецька область"
"Миргород","Миргород","Полтавская область","Полтавська область"
"Мирноград","Мирноград","Донецкая область","Донецька область"
"Миронівка","Мироновка","Киевская область","Київська область"
"Міусинськ",,,"Луганська область"
"Могилів-Подільський","Могилёв-Подольский","Винницкая область","Вінницька область"
"Молодогвардійськ","Молодогвардейск","Луганская область","Луганська область"
"Молочанськ","Молочанск","Запорожская область","Запорізька область"
"Монастириська","Монастыриска","Тернопольская область","Тернопільська область"
"Монастирище","Монастырище","Черкасская область","Черкаська область"
"Моршин","Моршин","Львовская область","Львівська область"
"Моспине","Моспино","Донецкая область","Донецька область"
"Мостиська","Мостиска","Львовская область","Львівська область"
"Мукачево","Мукачево","Закарпатская область","Закарпатська область"
"Надвірна","Надворная","Ивано-Франковская область","Івано-Франківська область"
"Немирів","Немиров","Винницкая область","Вінницька область"
"Нетішин","Нетешин","Хмельницкая область","Хмельницька область"
"Ніжин","Нежин","Черниговская область","Чернігівська область"
"Нікополь","Никополь","Днепропетровская область","Дніпропетровська область"
"Нова Каховка","Новая Каховка","Херсонская область","Херсонська область"
"Нова Одеса","Новая Одесса","Николаевская область","Миколаївська область"
"Новгород-Сіверський","Новгород-Северский","Черниговская область","Чернігівська область"
"Новий Буг","Новый Буг","Николаевская область","Миколаївська область"
"Новий Калинів","Новый Калинов","Львовская область","Львівська область"
"Новий Розділ","Новый Роздол","Львовская область","Львівська область"
"Новоазовськ","Новоазовск","Донецкая область","Донецька область"
"Нововолинськ","Нововолынск","Волынская область","Волинська область"
"Новоград-Волинський","Новоград-Волынский","Житомирская область","Житомирська область"
"Новогродівка","Новогродовка","Донецкая область","Донецька область"
"Новодністровськ","Новоднестровск","Черновицкая область","Чернівецька область"
"Новодружеськ","Новодружеск","Луганская область","Луганська область"
"Новомиргород","Новомиргород","Кировоградская область","Кіровоградська область"
"Новомосковськ","Новомосковск","Днепропетровская область","Дніпропетровська область"
"Новоселиця","Новоселица","Черновицкая область","Чернівецька область"
"Новоукраїнка","Новоукраинка","Кировоградская область","Кіровоградська область"
"Новояворівськ","Новояворовск","Львовская область","Львівська область"
"Носівка","Носовка","Черниговская область","Чернігівська область"
"Обухів","Обухов","Киевская область","Київська область"
"Овруч","Овруч","Житомирская область","Житомирська область"
"Одеса","Одесса","Одесская область","Одеська область"
"Олевськ","Олевск","Житомирская область","Житомирська область"
"Олександрівськ","Александровск","Луганская область","Луганська область"
"Олександрія","Александрия","Кировоградская область","Кіровоградська область"
"Олешки","Алёшки","Херсонская область","Херсонська область"
"Оріхів","Орехов","Запорожская область","Запорізька область"
"Остер","Остёр","Черниговская область","Чернігівська область"
"Острог","Острог","Ровненская область","Рівненська область"
"Охтирка","Ахтырка","Сумская область","Сумська область"
"Очаків",,,"Миколаївська область"
"Павлоград","Павлоград","Днепропетровская область","Дніпропетровська область"
"Первомайськ","Первомайск","Луганская область","Луганська область"
"Первомайськ","Первомайск","Луганская область","Миколаївська область"
"Первомайський","Первомайский","Харьковская область","Харківська область"
"Перевальськ","Перевальск","Луганская область","Луганська область"
"Перемишляни","Перемышляны","Львовская область","Львівська область"
"Перечин","Перечин","Закарпатская область","Закарпатська область"
"Перещепине","Перещепино","Днепропетровская область","Дніпропетровська область"
"Переяслав-Хмельницький","Переяслав-Хмельницкий","Киевская область","Київська область"
"Першотравенськ","Першотравенск","Днепропетровская область","Дніпропетровська область"
"Петрово-Красносілля","Петрово-Красноселье","Луганская область","Луганська область"
"Пирятин","Пирятин","Полтавская область","Полтавська область"
"Південне","Пивденное","Харьковская область","Харківська область"
"Підгайці","Подгайцы","Тернопольская область","Тернопільська область"
"Підгородне","Подгородное","Днепропетровская область","Дніпропетровська область"
"Погребище","Погребище","Винницкая область","Вінницька область"
"Подільськ","Подольск","Одесская область","Одеська область"
"Покров","Покров","Днепропетровская область","Дніпропетровська область"
"Покровськ","Покровск","Донецкая область","Донецька область"
"Пологи","Пологи","Запорожская область","Запорізька область"
"Полонне","Полонное","Хмельницкая область","Хмельницька область"
"Полтава","Полтава","Полтавская область","Полтавська область"
"Помічна","Помошная","Кировоградская область","Кіровоградська область"
"Попасна","Попасная","Луганская область","Луганська область"
"Почаїв","Почаев","Тернопольская область","Тернопільська область"
"Привілля","Приволье","Луганская область","Луганська область"
"Прилуки","Прилуки","Черниговская область","Чернігівська область"
"Приморськ","Приморск","Запорожская область","Запорізька область"
"Прип'ять",,,"Київська область"
"Пустомити","Пустомыты","Львовская область","Львівська область"
"Путивль","Путивль","Сумская область","Сумська область"
"П'ятихатки",,,"Дніпропетровська область"
"Рава-Руська","Рава-Русская","Львовская область","Львівська область"
"Радехів","Радехов","Львовская область","Львівська область"
"Радивилів","Радивилов","Ровненская область","Рівненська область"
"Радомишль","Радомышль","Житомирская область","Житомирська область"
"Рахів","Рахов","Закарпатская область","Закарпатська область"
"Рені","Рени","Одесская область","Одеська область"
"Решетилівка","Решетиловка","Полтавская область","Полтавська область"
"Ржищів","Ржищев","Киевская область","Київська область"
"Рівне","Ровно","Ровненская область","Рівненська область"
"Ровеньки","Ровеньки","Луганская область","Луганська область"
"Рогатин","Рогатин","Ивано-Франковская область","Івано-Франківська область"
"Родинське","Родинское","Донецкая область","Донецька область"
"Рожище","Рожище","Волынская область","Волинська область"
"Роздільна","Раздельная","Одесская область","Одеська область"
"Ромни","Ромны","Сумская область","Сумська область"
"Рубіжне","Рубежное","Луганская область","Луганська область"
"Рудки","Рудки","Львовская область","Львівська область"
"Саки","Саки","Автономная Республика Крым","Автономна Республіка Крим"
"Самбір","Самбор","Львовская область","Львівська область"
"Сарни","Сарны","Ровненская область","Рівненська область"
"Свалява","Свалява","Закарпатская область","Закарпатська область"
"Сватове","Сватово","Луганская область","Луганська область"
"Світловодськ","Светловодск","Кировоградская область","Кіровоградська область"
"Світлодарськ","Светлодарск","Донецкая область","Донецька область"
"Святогірськ","Святогорск","Донецкая область","Донецька область"
"Севастополь","Севастополь","Севастополь","Севастополь"
"Селидове","Селидово","Донецкая область","Донецька область"
"Семенівка","Семёновка","Черниговская область","Чернігівська область"
"Середина-Буда","Середина-Буда","Сумская область","Сумська область"
"Сєвєродонецьк","Северодонецк","Луганская область","Луганська область"
"Синельникове","Синельниково","Днепропетровская область","Дніпропетровська область"
"Сіверськ","Северск","Донецкая область","Донецька область"
"Сімферополь","Симферополь","Автономная Республика Крым","Автономна Республіка Крим"
"Скадовськ","Скадовск","Херсонская область","Херсонська область"
"Скалат","Скалат","Тернопольская область","Тернопільська область"
"Сквира","Сквира","Киевская область","Київська область"
"Сколе","Сколе","Львовская область","Львівська область"
"Славута","Славута","Хмельницкая область","Хмельницька область"
"Славутич","Славутич","Киевская область","Київська область"
"Слов'янськ",,,"Донецька область"
"Сміла","Смела","Черкасская область","Черкаська область"
"Снігурівка","Снигирёвка","Николаевская область","Миколаївська область"
"Сніжне","Снежное","Донецкая область","Донецька область"
"Сновськ","Сновск","Черниговская область","Чернігівська область"
"Снятин","Снятын","Ивано-Франковская область","Івано-Франківська область"
"Сокаль","Сокаль","Львовская область","Львівська область"
"Сокиряни","Сокиряны","Черновицкая область","Чернівецька область"
"Соледар","Соледар","Донецкая область","Донецька область"
"Сорокине","Сорокино","Луганская область","Луганська область"
"Соснівка","укр.","Львовская область","Львівська область"
"Старий Крим","Старый Крым","Автономная Республика Крым","Автономна Республіка Крим"
"Старий Самбір","Старый Самбор","Львовская область","Львівська область"
"Старобільськ","Старобельск","Луганская область","Луганська область"
"Старокостянтинів","Староконстантинов","Хмельницкая область","Хмельницька область"
"Стебник","Стебник","Львовская область","Львівська область"
"Сторожинець","Сторожинец","Черновицкая область","Чернівецька область"
"Стрий","Стрый","Львовская область","Львівська область"
"Судак","Судак","Автономная Республика Крым","Автономна Республіка Крим"
"Судова Вишня","Судовая Вишня","Львовская область","Львівська область"
"Суми","Сумы","Сумская область","Сумська область"
"Суходільськ","Суходольск","Луганская область","Луганська область"
"Таврійськ","Таврийск","Херсонская область","Херсонська область"
"Тальне","Тальное","Черкасская область","Черкаська область"
"Тараща","Тараща","Киевская область","Київська область"
"Татарбунари","Татарбунары","Одесская область","Одеська область"
"Теплодар","Теплодар","Одесская область","Одеська область"
"Теребовля","Теребовля","Тернопольская область","Тернопільська область"
"Тернівка","Терновка","Днепропетровская область","Дніпропетровська область"
"Тернопіль","Тернополь","Тернопольская область","Тернопільська область"
"Тетіїв","Тетиев","Киевская область","Київська область"
"Тисмениця","Тысменица","Ивано-Франковская область","Івано-Франківська область"
"Тлумач","Тлумач","Ивано-Франковская область","Івано-Франківська область"
"Токмак","Токмак","Запорожская область","Запорізька область"
"Торецьк","Торецк","Донецкая область","Донецька область"
"Тростянець","Тростянец","Сумская область","Сумська область"
"Трускавець","Трускавец","Львовская область","Львівська область"
"Тульчин","Тульчин","Винницкая область","Вінницька область"
"Турка","Турка","Львовская область","Львівська область"
"Тячів","Тячев","Закарпатская область","Закарпатська область"
"Угнів","Угнев","Львовская область","Львівська область"
"Ужгород","Ужгород","Закарпатская область","Закарпатська область"
"Узин","Узин","Киевская область","Київська область"
"Українка","Украинка","Киевская область","Київська область"
"Українськ","Украинск","Донецкая область","Донецька область"
"Умань","Умань","Черкасская область","Черкаська область"
"Устилуг","Устилуг","Волынская область","Волинська область"
"Фастів","Фастов","Киевская область","Київська область"
"Феодосія","Феодосия","Автономная Республика Крым","Автономна Республіка Крим"
"Харків","Харьков","Харьковская область","Харківська область"
"Харцизьк","Харцызск","Донецкая область","Донецька область"
"Херсон","Херсон","Херсонская область","Херсонська область"
"Хирів","Хыров","Львовская область","Львівська область"
"Хмельницький","Хмельницкий","Хмельницкая область","Хмельницька область"
"Хмільник","Хмельник","Винницкая область","Вінницька область"
"Ходорів","Ходоров","Львовская область","Львівська область"
"Хорол","Хорол","Полтавская область","Полтавська область"
"Хоростків","Хоростков","Тернопольская область","Тернопільська область"
"Хотин","Хотин","Черновицкая область","Чернівецька область"
"Хрестівка","Крестовка","Донецкая область","Донецька область"
"Христинівка","Христиновка","Черкасская область","Черкаська область"
"Хрустальний","Хрустальный","Луганская область","Луганська область"
"Хуст","Хуст","Закарпатская область","Закарпатська область"
"Часів Яр","Часов Яр","Донецкая область","Донецька область"
"Червоноград","Червоноград","Львовская область","Львівська область"
"Черкаси","Черкассы","Черкасская область","Черкаська область"
"Чернівці","Черновцы","Черновицкая область","Чернівецька область"
"Чернігів","Чернигов","Черниговская область","Чернігівська область"
"Чигирин","Чигирин","Черкасская область","Черкаська область"
"Чистякове","Чистяково","Донецкая область","Донецька область"
"Чоп","Чоп","Закарпатская область","Закарпатська область"
"Чорнобиль","Чернобыль","Киевская область","Київська область"
"Чорноморськ","Черноморск","Одесская область","Одеська область"
"Чортків","Чортков","Тернопольская область","Тернопільська область"
"Чугуїв","Чугуев","Харьковская область","Харківська область"
"Чуднів","Чуднов","Житомирская область","Житомирська область"
"Шаргород","Шаргород","Винницкая область","Вінницька область"
"Шахтарськ","Шахтёрск","Донецкая область","Донецька область"
"Шепетівка","Шепетовка","Хмельницкая область","Хмельницька область"
"Шостка","Шостка","Сумская область","Сумська область"
"Шпола","Шпола","Черкасская область","Черкаська область"
"Шумськ","Шумск","Тернопольская область","Тернопільська область"
"Щастя","Счастье","Луганская область","Луганська область"
"Щолкіне","Щёлкино","Автономная Республика Крым","Автономна Республіка Крим"
"Южне","Южное","Одесская область","Одеська область"
"Южноукраїнськ","Южноукраинск","Николаевская область","Миколаївська область"
"Яворів","Яворов","Львовская область","Львівська область"
"Яготин","Яготин","Киевская область","Київська область"
"Ялта","Ялта","Автономная Республика Крым","Автономна Республіка Крим"
"Ямпіль","Ямполь","Винницкая область","Вінницька область"
"Яремче","Яремче","Ивано-Франковская область","Івано-Франківська область"
"Ясинувата","Ясиноватая","Донецкая область","Донецька область"
